55kV,60kV,70kV,80kV,90kV,100kV,110kV,120kV,130kV,140kV
29.1038223238,33.9545236932,44.617275953,56.5254111368,69.6413899929,83.9330671168,99.3724290258,115.9347201292,133.5978137542,152.3417453085
28.2004835054,32.9339495681,43.3538943084,55.0102346783,67.8675748202,81.8955599663,97.0677024784,113.3605676475,130.7531870702,149.2266227703
30.5842384061,35.7300912093,47.0633389681,59.7485095884,73.7475953561,89.0279852952,105.5612103614,123.3220727717,142.28801844,162.4386705061
35.9607478547,41.4769895245,53.4083673649,66.4850785572,80.6531733714,95.8672188079,112.088203098,129.2821062704,147.4188853903,166.4717305803
28.7636700874,33.5560995995,44.0900588296,55.8534487241,68.8091243944,82.9252803175,98.1742008903,114.5313950958,131.9749738237,150.4851877267
18.9225896334,22.5076176782,30.6068680317,39.9440995658,50.5183115452,62.328622526,75.3742449333,89.6544669946,105.1686394369,121.9161654061
28.2552906132,33.0377620724,43.5835401594,55.4040352509,68.4650572494,82.7372338296,98.1948946784,114.8152964172,132.5780633655,151.4647714743
27.5029422064,32.4878380449,43.6397635715,56.350918236,70.6035193521,86.3820611542,103.6728124355,122.46346281,142.7428643731,164.5008373837
27.4296981788,32.1842147688,42.720053947,54.5971033382,67.7864061529,82.2629594318,98.0048130834,114.9924411157,133.2082860877,152.6364189169
26.2645093491,30.6560782466,40.3158463441,51.112004678,63.0110807225,75.9843922412,90.0069289134,105.0565772553,121.1135625499,138.1600344308
26.262823217,30.8518834696,41.0382594414,52.5438964419,65.3426875148,79.4120511563,94.7321324826,111.2852448507,129.0554647333,148.028328795
18.9853525272,22.4753232184,30.3069901207,39.2656338473,49.3421434186,60.5285492005,72.8177737783,86.2034560257,100.6798222886,116.2415892647
28.7765480788,33.6003776013,44.2164160579,56.0884433986,69.1801487181,83.4604010744,98.9020421488,115.481049104,133.1759315667,151.9672836589
26.8876227687,31.4908536857,41.665248748,53.1006250923,65.766305427,79.6358713505,94.6861845804,110.8967055337,128.2490006966,146.7263754584
25.8698047498,30.2805521844,40.0212138084,50.9582814863,63.0615667791,76.3050950739,90.6661344585,106.1245201648,122.6621665263,140.2627034659
26.1522775258,30.5611573522,40.2752068892,51.1531225891,63.1626809009,76.2762222171,90.4695910891,105.7214005984,122.0125019471,139.3255900831
19.1962972483,22.9376316046,31.4448509001,41.3261716256,52.5901614246,65.2444169446,79.2957659195,94.7504116516,111.6140399771,129.8919007186
24.8255750875,29.4725280271,39.9424535861,51.9748649221,65.5639076501,80.7044395937,97.3918775205,115.6220885003,135.3913100896,156.6960899727
29.4274118418,34.5432492496,45.8867505249,58.6834332628,72.9028780338,88.5188022635,105.5081194968,123.8502824924,143.5268070416,164.5209162029
29.0105352132,34.3287502898,46.2558916076,59.8898064989,75.215586358,92.2201982922,110.8920748355,131.2208243717,153.1970192145,176.8120359045
26.8875140085,31.6898531037,42.3993944331,54.5615209442,68.1547242586,83.1603110223,99.5617750166,117.344356344,136.4947203497,157.0007166918
28.4725742609,33.5144663468,44.7375854942,57.4557917363,71.6440038159,87.2804643322,104.345993707,122.8234673294,142.6974353064,163.9538375305
23.4021949881,27.9697312969,38.3590173671,50.4309888148,64.1967409344,79.6661148752,96.847958333,115.7503119942,136.3805476037,158.7454731296
26.8364532429,31.9039015406,43.3436209872,56.5204403688,71.4315393507,88.07443571,106.4469130839,126.5469696607,148.3727804228,171.9226685511
25.1513826154,30.0210480546,41.0770509472,53.8961852647,68.4865101777,84.855160311,103.0085392488,122.9524576879,144.6922355864,168.2327798602
22.0937935561,26.7486410845,37.5319796017,50.3297843403,65.1959545527,82.1792019884,101.3240551682,122.6715900119,146.2599792172,172.1249165325
22.9202542712,27.4933161438,37.9488273677,50.1703301593,64.1794221287,79.9953610339,97.6355418104,117.1158393841,138.4508636295,161.6541543248
17.3189058897,20.7882417656,28.7277805445,38.0185127688,48.6783670101,60.723345001,74.1679130456,89.0252835523,105.3076245809,123.026220189
19.2677571202,23.1553716702,32.0673545834,42.5166698933,54.5266059117,68.1179845449,83.3096590268,100.1188725003,118.5615252929,138.6523797018
22.2474051669,26.8375900414,37.4168000532,49.8982165826,64.3219275578,80.7239730957,99.1371453993,119.5915679217,142.1151289994,166.733815446
25.5551476141,30.0389322013,40.0002476604,51.2629941568,63.8026210809,77.5978741559,92.6300506885,108.8824785695,126.3401379957,144.9893784331
28.8985341421,33.670461172,44.1404672513,55.8079621901,68.6344852023,82.5871652283,97.6374053222,113.7599730379,130.9323468765,149.1342318933
25.0286849695,29.7629271002,40.4545834058,52.7752860317,66.7230758293,82.2962278319,99.4932012822,118.3126041314,138.7531669067,160.8137229135
28.3882980178,33.4324700897,44.6688441982,57.4128404382,71.6403430096,87.3304163255,104.4645929823,123.0263743932,143.0008673996,164.3745118228
18.2910594259,21.3974977988,28.2522301412,35.9417275498,44.4442152792,53.7409734913,63.8156313642,74.6536764135,86.2421002513,98.5691348938
23.8017837492,28.0308878808,37.4515664474,48.1361780535,60.0644971666,73.2189655519,87.5840950686,103.1460488374,119.8923364578,137.8115855
25.8335751915,30.1221437522,39.5416717693,50.051581027,61.6180805925,74.2122587205,87.8089383927,102.3858852436,117.9232379475,134.4030856973
18.1437691704,21.6222073912,29.501793467,38.6141101097,48.9617612999,60.5470469545,73.372027096,87.4385675703,102.7483737855,119.3030163311
29.8410126075,34.9131715987,46.1073852167,58.6672755069,72.5574625967,87.747524993,104.2108544884,121.9238600598,140.8653930474,161.0163192131
29.0048340418,33.9261491135,44.7835076831,56.9603068959,70.4218559746,85.138337118,101.0836787931,118.2347726844,136.5709084681,156.0733531296
30.6573331482,35.9553867312,47.6883352014,60.9052685378,75.5731572095,91.6635000196,109.1512900822,128.0142936162,148.2325276998,169.7878704565
24.8330975427,29.2114768228,38.9486545372,49.9711676531,62.2561859076,75.78392338,90.53695306,106.4997268815,123.6582269339,
25.8449161812,30.3077452012,40.1893803307,51.3186949401,63.6676979147,77.2122398519,91.9311353392,107.8055508627,124.8185616345,
27.7594552318,32.6026392647,43.3496494138,55.4840101877,68.9777923279,83.806846091,99.9499439282,117.3881814038,136.1045426567,
30.5088835102,35.7927220632,47.4994810735,60.6938390522,75.3434025647,91.4202062743,108.899703324,127.7600608535,147.9816496695,169.5466631946
28.5172283763,33.2585190741,43.6756118139,55.3027058885,68.1026955445,82.0438228057,97.0984243344,113.2420638912,130.452908291,148.7112643983
18.825707021,22.3958107554,30.4630950177,39.7658140414,50.3032602955,62.0748104506,75.0799074482,89.318047756,104.7887719822,121.4916577613
29.160978425,34.1184092963,45.0598084036,57.336549104,70.9140878792,85.762721288,101.8564683225,119.1722933662,137.6895451175,157.3895388691
26.8665313838,31.683397322,42.4341082191,54.6545628111,68.3242859823,83.4254674415,99.9423689934,117.8609080897,137.1683542903,157.8531013532
27.2287164063,31.8923898108,42.2013145054,53.7891151142,66.6248023861,80.6816867722,95.9363905708,112.3681601245,129.958368537,148.6901450141
26.2883246179,30.7323749318,40.5294282496,51.5074723288,63.634514406,76.8830770236,91.2291514575,106.6514708738,123.1309860073,140.6504751449
23.9879715226,28.1894389437,37.5201092322,48.0653022443,59.8016284763,72.7088465495,86.7691510642,101.9666745818,118.2871261435,135.7175208769
18.5521251764,22.2336320124,30.6400196704,40.4517834537,51.6841419833,64.3506473587,78.463526568,94.0339265458,111.0720962349,129.587525666
27.4145959864,32.095737225,42.4367276626,54.05202767,66.9099012982,80.9830337344,96.2475134318,112.682123829,130.2678315351,148.9874050209
25.215403789,29.7012117359,39.6963530322,51.03596918,63.6989254335,77.6668692692,92.9236080089,109.4546722246,127.2469979601,146.2886884311
24.278383786,28.5199521536,37.9346524243,48.5682196748,60.3964859665,73.3985477603,87.5560261449,102.852549759,119.2733796438,136.8051287409
24.3063077503,28.6299362396,38.2634991185,49.1926166837,61.3968922092,74.8586144437,89.5621568306,105.4935560715,122.6402053866,140.9906244974
25.1729699989,29.4646325807,38.9421825961,49.5836579744,61.3596734724,74.2449459049,88.2173487366,103.2572544235,119.347059306,136.4708297351
25.7143493446,30.4284771578,41.0009178032,53.0863852466,66.6716761533,81.7452482604,98.2968570503,116.3172993164,135.7982254954,156.7319982405
19.7671064778,23.6461330216,32.4804440035,42.7605522609,54.4979793488,67.7029576979,82.3846973205,98.5515767812,116.2112847658,
25.1963581163,29.6799097189,39.6705625885,51.0057965539,63.6645529459,77.6285442863,92.8816344926,109.4094040719,127.19883363,146.2380665276
24.2722323806,28.6599158034,38.4701480023,49.6445584558,62.1667453221,76.0224153384,91.1989176739,107.6849158706,125.4701483723,144.5452484775
25.9551239752,30.6018862047,40.9697327307,52.7507453212,65.9247673627,80.474271204,96.3837727832,113.6394204672,132.2286954441,152.1401868194
28.1270085355,33.0967216028,44.1539788263,56.6773988246,70.6416487212,86.0247634683,102.8073887404,120.9722505526,140.5037696902,
18.0220654369,21.9382128678,31.0807371932,42.0285809204,54.8456302201,69.5900813209,86.3155073587,105.0716401434,125.9049617916,148.8591643007
23.8419057479,28.6014130238,39.4845790556,52.2078366877,66.7939459554,83.2632037463,101.6339457232,121.9229070698,144.1454908138,144.1454908138
23.3761682879,27.8941545522,38.1475576683,50.030523515,63.5497809511,78.7112844256,95.520376302,113.9819027066,134.1002991553,134.1002991553
20.6512095889,24.7296923986,34.0320995051,44.8755913342,57.2749614233,71.2433681851,86.7926713096,103.9336729745,122.6762968795,
22.8887470135,27.4885333528,38.0230831753,50.3612834018,64.5285701578,80.5476635364,98.4391177187,118.2217169436,139.912770419,163.5283381175
25.3313299826,30.364007766,41.8588375089,55.2796456283,70.6478701273,87.9826068266,107.3010886919,128.6190299754,151.9508819483,177.3100282999
18.680470421,22.3434655834,30.6842961205,40.3881706105,51.4656868518,63.9262551635,77.7783442252,93.0296570782,109.6872615765,
25.5854306057,30.3663982729,41.1341413532,53.5033182273,67.4672640728,83.020127175,100.1566937096,118.8722635846,139.1625592548,
24.2427820167,28.4917248124,37.9291622407,48.5967697081,60.471042032,73.531634763,87.7606495265,103.1421341805,119.6617199673,137.3063500695
27.401308335,32.1045324384,42.5054586265,54.2026527045,67.165310691,81.3668905611,96.7841344828,113.3963877578,131.185106233,150.1334890169
24.5214533588,28.8743488958,38.5688449903,49.5614599895,61.831143369,75.3596244617,90.1307896298,106.1302455423,123.3450014279,141.7632308827
27.4075963834,31.9568602716,41.9487196532,53.0968656764,65.3654323523,78.7237333501,93.145046954,108.6057751604,125.0848389643,142.5632298104
18.3719053151,21.8272271811,29.6206097279,38.5880982801,48.7266473807,60.0335791362,72.5065044192,86.1432669567,100.9419022172,116.900606295
23.9721171028,28.263178405,37.83705884,48.7154544675,60.8797106212,74.3136062727,89.0028120877,104.9345097804,122.0971147504,140.4800678825
24.8273349553,28.9925344817,38.160603718,48.4153154157,59.7254440859,72.0642141879,85.408263493,99.7369241929,115.03170499,131.2759063053
17.3312634305,20.7159514747,28.4158187985,37.3642367015,47.5696292013,59.0394691907,71.7804760399,85.7987569363,101.0999115656,117.6891118528
31.8158056442,37.4187312959,49.8761015611,63.9738016791,79.682258869,96.9758503621,115.8320133117,136.2306216617,158.153533416,181.5842516946
19.8442729634,23.8088456332,32.8759777948,43.4784208504,55.6354768049,69.3643620174,84.6806318994,101.5984862098,120.1309961689,140.290278163
23.9668879053,28.2300027776,37.728668692,48.5046618016,60.5378629284,73.8108019505,88.3080651554,104.0158795117,120.9218100862,139.0145331444
19.0914497817,22.6992801562,30.8453730417,40.2303682261,50.8524931914,62.7101876302,75.8020581273,90.1268459716,105.683403466,122.4706759834
28.6905037135,33.6902906364,44.7820840082,57.3021733689,71.2214316859,86.514679889,103.1597906061,121.1370620126,140.4287637526,161.0187975552
25.4918891956,29.9899487917,39.9949509973,51.3228305437,63.9503258082,77.8572735746,93.0259118211,109.4403914282,127.0864212906,145.9510025409
23.7449988613,28.3368810808,38.7593492949,50.8400768032,64.5861470945,80.0038292747,97.0987486883,115.8760087018,136.3402807282,158.4958726882
19.8309062422,23.5298626396,31.857328631,41.4188242988,52.2086750116,64.2219005092,77.4540650562,91.9011713029,107.5595823585,
23.9939840776,28.373775147,38.1871153946,49.3925562555,61.9765318013,75.9271943187,91.234037241,107.8876292512,125.8794198432,145.2015928975
28.755216941,33.750105531,44.8235251718,57.3130402984,71.1887489455,86.4248201944,102.9985678734,120.8898038364,140.0803692326,
28.2479503122,33.4101841158,44.9795719948,58.1940254173,73.0379591529,89.4977584209,107.5613468471,127.2178817286,148.4575311473,171.2713060908
25.7936490011,30.4244517473,40.7629160536,52.5187582967,65.6726782113,80.20788239,96.1095272505,113.3643275587,131.9602710207,151.8864039401
28.4138338201,33.604583717,45.2369992839,58.5222746204,73.4446157207,89.9902265002,108.1468706125,127.9035624067,149.2503409034,172.1780995633
19.6774584421,23.785932512,33.2824113196,44.5240268025,57.5531619856,72.4080336517,89.1235061785,107.7316823934,128.2623470295,
26.48258833,31.4513436186,42.6521822341,55.5324081493,70.0866823375,86.3103127575,104.1991153859,123.7493156604,144.9574760426,
23.2572451109,27.656752544,37.5926269882,49.0426218392,62.0049446004,76.4780170087,92.4604293219,109.9509078428,128.9482910141,149.4515113072
20.3497104373,24.3123997852,33.3211374818,43.7825501605,55.7053768174,69.0973644361,83.9654745974,100.3160311719,118.1548296428,118.1548296428
22.7926025467,27.2633507617,37.4442276308,49.289856836,62.8133162536,78.0262192674,94.9390178743,113.5612196974,133.9015488455,155.9680685453
25.5284619834,30.3485538023,41.2296790848,53.7628303558,67.9452942558,83.7746827548,101.2488636284,120.3659110857,141.1240694386,163.5217255867
18.8418201179,22.5211128894,30.890970565,40.6177373525,51.7105312575,64.1774405972,78.0257379448,93.262033155,109.8923866964,127.9223959832
24.6616392949,29.5202962906,40.5958541019,53.4977365385,68.2423360563,84.8442247397,103.3165296192,123.6712016429,145.9192152206,
27.9293207475,32.8139168869,43.658324519,55.9098772577,69.5410100254,84.5278755044,100.8495022572,118.487206154,137.4241632749,157.64509051
27.4294570764,32.2713053914,43.0418932527,55.2377670812,68.8339917407,83.8089515521,100.1436035508,117.8209544648,136.8256805578,157.1438429123
19.6060842536,23.3081355924,31.665428843,41.291688355,52.1848448377,64.3430770861,77.7647589668,92.4484217689,108.3927265003,125.5964429058
29.1310807558,34.1321253044,45.1920860718,57.631000013,71.416154058,86.5193601245,102.9159171399,120.5838880159,139.5035766885,159.6571381796
28.1833962129,33.0407754642,43.7917697289,55.8946429978,69.3184964864,84.0366830704,100.0258346289,117.265183998,135.7360742112,155.4215923417
21.6560253059,25.6312111052,34.5489071309,44.7461225394,56.2120771428,68.9373442673,82.9135549881,98.1331893254,114.5894233978,132.2760142136
24.7299292852,28.9470476938,38.2604267318,48.7181561922,60.2914037347,72.9553606595,86.6883147183,101.4710051009,117.2861564451,134.1181317397
32.3891821516,37.8140291388,49.7507170335,63.0969899786,77.8118416063,93.860121544,111.2111697504,129.8378697499,149.715966746,170.8235611295
28.1608419832,32.6523238108,42.4397752146,53.2601284923,65.0727667512,77.8432207767,91.5416905395,106.1420295412,121.6210192629,137.9578342001
25.3532260598,29.6810113268,39.2407883466,49.9777928406,61.8626250119,74.8699824529,88.9777166081,104.1661762592,120.4177331419,137.7164285426
17.2722632268,20.7237648691,28.6179027786,37.8492991928,48.4348441912,60.3896036444,73.7271906013,88.4600322736,104.5995686598,122.1564044654
24.8444808547,29.3010335337,39.2486305677,50.5575822274,63.2090798696,77.1867609803,92.4761652906,109.0643526056,126.939624226,
25.3105954545,29.8735792833,40.0697655481,51.6758839824,64.6740923078,79.0488514047,94.7864151165,111.8744713873,130.3018804357,
26.9692078521,31.8112863329,42.6215406828,54.9139967047,68.6684873287,83.8674647494,100.4954184356,118.53846611,137.9840555491,
